##
#  file: DCGeomParam_E72_0
#  date: 2025.12.09
#  note:
#    Target position is FF
#    SHS magnet center is +143.0mm from FF.
#
#    2025.12.09 update for E72
#
##############################################################################
# Name Explaination (use DCGeomRecord as refference):
#             X:      x [mm]
#             Y:      y [mm]
#             Z:      z [mm]
#             TA:     tilt angle [deg]
#             RA1:    rotation angle along x-axis [deg]
#             RA2:    rotation angle along y-axis [deg]
#             L:      local length from VI or VO [mm]
#             Res:    resolution [mm]
#             W0:     central wire # (1-origin)
#             dXdW:   sense wire pitch [mm]
#             Ofs:    offset [mm] (to be tuned by analysis)
#
#############################################################################
#
# Id	Name	X	Y	Z	TA	RA1	RA2	L	Res	W0	dXdW	Ofs
#
### Counters
103	BH2	0.00	0.00	-595.7	0.0	0.0	0.0	-595.7	0.00	4.5	14.0	0.0
104	BAC	-17.25	0.00	-498.3	0.0	0.0	0.0	-498.3	0.00	1.0	0.0	0.0
106	KVC	216.78	0.00	610.55	0.0	0.0	0.0	610.55	0.00	1.0	0.0	0.0
107	T1	218.28	0.00	620.55	0.0	0.0	0.0	620.55	0.00	1.0	0.0	0.0
108	CVC	12.7	0.00	14068.6	0.0	0.0	0.0	14068.6	0.00	1.0	0.0	0.0
109	SAC3	0.00	0.00	14316.0	0.0	0.0	0.0	14316.0	0.00	1.0	0.0	0.0
110	SFV	0.00	0.00	14428.5	0.0	0.0	0.0	14428.5	0.00	1.0	0.0	0.0

#
500  SHSTarget 0.0	0.0	-143.0	0.0	0.0	0.0	0.0	0.00	1.0	1.0	0.0
501	HypTPC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
502	HTOF	0.0	12.0	0.0	0.0	0.0	0.0	337.0	0.0	0.0	68.0	0.0
504	BLC2	0.0	0.0	-1149.74	0.0	0.0	0.0	-1149.74	0.0	0.0	0.0	0.0


### Virtual Planes
#VP1	BH2	-595.7
#VP2	BAC	-498.3
#VP3	HTOFu	-342
#VP4	TGT	-143
#VP5	HTOFd	342
#VP6	KVC	610.55

1001	VP1	0.0	0.0	-595.7	0.0	0.0	0.0	-595.7	0.0	0.0	0.0	0.0
1002	VP2	0.0	0.0	-498.3	0.0	0.0	0.0	-498.3	0.0	0.0	0.0	0.0
1003	VP3	0.0	0.0	-342.0	0.0	0.0	0.0	-342.0	0.0	0.0	0.0	0.0
1004	VP4	0.0	0.0	-143.0	0.0	0.0	0.0	-143.0	0.0	0.0	0.0	0.0
1005	VP5	0.0	0.0	342.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0
1006	VP6	0.0	0.0	610.55	0.0	0.0	0.0	610.55	0.0	0.0	0.0	0.0
